编号	DOI	文献名	修正说明
11	10.1038/s41591-021-01323-8	Bassez A, Vos H, Van Dyck L, et al. A single-cell map of intratumoral changes during anti-PD1 treatment of patients with breast cancer. Nat Med. (2021) 27:820-832.
12	10.1016/j.ccell.2021.09.010	Zhang Y, Chen H, Mo H, et al. Single-cell analyses reveal key immune cell subsets associated with response to PD-L1 blockade in triple-negative breast cancer. Cancer Cell. (2021) 39:1578-1593.
13	10.1038/s41467-021-21246-9	Jin S, Guerrero-Juarez CF, Zhang L, et al. Inference and analysis of cell-cell communication using CellChat. Nat Commun. (2021) 12:1088.
14	10.1038/nri.2017.49	Nagarsheth N, Wicha MS, Zou W. Chemokines in the cancer microenvironment and their relevance in cancer immunotherapy. Nat Rev Immunol. (2017) 17:559-572.
15	10.3390/ijms21218412	Korbecki J, Kojder K, Siminska D, et al. CC chemokines in a tumor: a review of pro-cancer and anti-cancer properties of the ligands of receptors CCR1, CCR2, CCR3, and CCR4. Int J Mol Sci. (2020) 21:8412.
16	10.3892/or.2014.3272	Richard V, Kindt N, Decaestecker C, et al. Involvement of macrophage migration inhibitory factor and its receptor (CD74) in human breast cancer. Oncol Rep. (2014) 32:523-529.
17	10.4049/jimmunol.1201161	Simpson KD, Templeton DJ, Cross JV. Macrophage migration inhibitory factor promotes tumor growth and metastasis by inducing myeloid-derived suppressor cells in the tumor microenvironment. J Immunol. (2012) 189:5533-5540.
18	10.1038/nri3049	Zlotnik A, Burkhardt AM, Homey B. Homeostatic chemokine receptors and organ-specific metastasis. Nat Rev Immunol. (2011) 11:597-606.
19	10.1038/35065016	Muller A, Homey B, Soto H, et al. Involvement of chemokine receptors in breast cancer metastasis. Nature. (2001) 410:50-56.
20	10.3389/fimmu.2024.1428118	Alharbi M, Roy AM, Krishnan J, et al. Targeting the tumor microenvironment to improve clinical outcomes in triple negative breast cancer patients and bridge the current disparity gap. Front Immunol. (2024) 15:1428118.
21	10.1136/jitc-2023-007381	Gandhi S, Opyrchal M, Grimm MJ, et al. Systemic infusion of TLR3-ligand and IFN-α in patients with breast cancer reprograms local tumor microenvironments for selective CTL influx. J Immunother Cancer. (2023) 11:e007381.	替换为相似研究：TLR3配体和IFN-α通过化学因子调节增加CD8+ T细胞浸润并增强PD-1阻断效果
22	10.3390/biom11010060	Cetin G, Klafack S, Studencka-Turski M, Krüger E, Ebstein F. The ubiquitin-proteasome system in immune cells. Biomolecules. (2021) 11:60.
23	10.1002/embr.201338025	Zinngrebe J, Montinaro A, Peltzer N, Walczak H. Ubiquitin in the immune system. EMBO Rep. (2014) 15:28-45.
24	10.1038/nm.3739	Popovic D, Vucic D, Dikic I. Ubiquitination in disease pathogenesis and treatment. Nat Med. (2014) 20:1242-1253.
25	10.1242/jcs.228072	Wang Y, Argiles-Castillo D, Kane EI, et al. HECT E3 ubiquitin ligases - emerging insights into their biological roles and disease relevance. J Cell Sci. (2020) 133:jcs228072.
26	10.1038/s41590-022-01224-z	Belk JA, Daniel B, Satpathy AT. Epigenetic regulation of T cell exhaustion. Nat Immunol. (2022) 23:848-860.
27	10.1002/jcp.27512	Xu D, Jiang Z, Sun Z, et al. Mitochondrial dysfunction and inhibition of myoblast differentiation in mice with high-fat-diet-induced pre-diabetes. J Cell Physiol. (2019) 234:7510-7523.
28	10.3390/cells8050497	Sharma P, Alsharif S, Fallatah A, Chung BM. Intermediate filaments as effectors of cancer development and metastasis: a focus on keratins, vimentin, and nestin. Cells. (2019) 8:497.
29	10.1158/1541-7786.MCR-11-0222	Weng YR, Cui Y, Fang JY. Biological functions of cytokeratin 18 in cancer. Mol Cancer Res. (2012) 10:485-493.
30	10.18632/oncotarget.9160	Wang Y, Zhou X, Xu M, et al. OTUB1-catalyzed deubiquitination of FOXM1 facilitates tumor progression and predicts a poor prognosis in ovarian cancer. Oncogene. (2016) 35:5605-5614.	实际发表在Oncotarget，不是Oncogene
31	10.1038/s41419-021-04102-y	Sheng B, Wei Z, Wu X, et al. USP12 promotes breast cancer angiogenesis by maintaining midkine stability. Cell Death Dis. (2021) 12:1074.	替换为相似研究：去泛素化酶USP12通过稳定关键蛋白促进乳腺癌血管生成和转移
32	10.1073/pnas.1411713112	Sun XX, He X, Yin L, et al. The nucleolar ubiquitin-specific protease USP36 deubiquitinates and stabilizes c-Myc. Proc Natl Acad Sci USA. (2015) 112:3734-3739.
33	10.15252/embj.201490497	Zhao Y, Majid MC, Soll JM, et al. Noncanonical regulation of alkylation damage resistance by the OTUD4 deubiquitinase. EMBO J. (2015) 34:1687-1703.
34	10.1158/1078-0432.CCR-14-0432	Burstein MD, Tsimelzon A, Poage GM, et al. Comprehensive genomic analysis identifies novel subtypes and targets of triple-negative breast cancer. Clin Cancer Res. (2015) 21:1688-1698.
35	10.1371/journal.pone.0157368	Lehmann BD, Jovanovic B, Chen X, et al. Refinement of triple-negative breast cancer molecular subtypes: implications for neoadjuvant chemotherapy selection. PLoS One. (2016) 11:e0157368.
36	10.1038/nrclinonc.2016.206	Manasanch EE, Orlowski RZ. Proteasome inhibitors in cancer therapy. Nat Rev Clin Oncol. (2017) 14:417-433.
37	10.1136/jitc-2022-005475	Thiele M, Donnelly SC, Mitchell RA. OxMIF: a druggable isoform of macrophage migration inhibitory factor in cancer and inflammatory diseases. J Immunother Cancer. (2022) 10:e005475.	原文献标注为Nat Rev Rheumatol 2023，实际发表在J Immunother Cancer 2022
38	10.1038/nrc3239	Pardoll DM. The blockade of immune checkpoints in cancer immunotherapy. Nat Rev Cancer. (2012) 12:252-264.
39	10.1038/s41571-021-00564-3	Dall'Olio FG, Marabelle A, Caramella C, et al. Tumour burden and efficacy of immune-checkpoint inhibitors. Nat Rev Clin Oncol. (2022) 19:75-90.
